"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"唔知日後重有冇歌手敢請姜仔上台唱live 同跳舞，後果可能俾人笑足一世😂","Peter Chan","https://yt3.ggpht.com/ytc/AMLnZu-0Ow7R0XTCnVnUrbEYdXxCB9d6Xt_7VcNjRum1u04UkDICpgEBIKwIo2rREMQq=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCWUdQTWx_TUc0jnLJbacvcA","UCWUdQTWx_TUc0jnLJbacvcA","0","10","2023-01-14T04:25:53Z","2023-01-14T04:25:53Z","UgzCxhR6mBWJNfMpY1B4AaABAg",NA,"j5M6RzGN5JE"
"每個人都有屬於自己嘅表演風格、方式。所以姜濤唔使驚人哋點睇你！最緊要係盡力做好自己想做嘅嘢就已經對fans 最好嘅答謝👍💙永遠都支持你🍑 做你背後嘅姜糖💙🍑","John To","https://yt3.ggpht.com/HCdxtYQq9PsA4fjOxslKgS-qQfGvEox54JOe--lO32KaYuR1csKrfN3gmQ2_ty_iZJN-Dw8Eb9k=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCE8sKUXo9t9r_9KqpO6834A","UCE8sKUXo9t9r_9KqpO6834A","0","8","2023-01-14T04:14:24Z","2023-01-14T04:14:24Z","UgyWuW3Mynnv_dWbPdp4AaABAg",NA,"j5M6RzGN5JE"
"唔係以為行落個台就係型先得㗎","Red_Leaf","https://yt3.ggpht.com/ytc/AMLnZu9WPVg22bh_Gn9xIYLrZXPE8BSOb602RMS7RqU4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCB-vXfoVgb5bzmqe9PzKw9Q","UCB-vXfoVgb5bzmqe9PzKw9Q","0","12","2023-01-14T03:11:45Z","2023-01-14T03:11:45Z","Ugxr2zhtFVhJYuSH6Yx4AaABAg",NA,"j5M6RzGN5JE"
"誇大要成亞洲第一，自知歌藝沒可能了，所以今次發瘋成功登上亞洲第一了！","Millie Chan","https://yt3.ggpht.com/ytc/AMLnZu-BF4VWPREl5fXZ5ndoiSjdplXQH29BXmVn9zB5DY6-kypxUJ3L2Z1ovA56waPq=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCHFkYCuvAA2FNrF0vfwIW_g","UCHFkYCuvAA2FNrF0vfwIW_g","0","17","2023-01-14T03:01:36Z","2023-01-14T03:01:36Z","Ugz5d84rHyGiABKvL654AaABAg",NA,"j5M6RzGN5JE"
"仲話要做亞洲第一，連基本嘅自制能力都冇點搞?   減肥先啦！","Sonia88","https://yt3.ggpht.com/ytc/AMLnZu--uxSpxjlOKQiBEkNbSSYnIxOXo3R1tt32fExz6gXZiiiw1CMyHAx4qSoA7pBg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCEg7eirLiNctBnYr_QdD9Xg","UCEg7eirLiNctBnYr_QdD9Xg","0","17","2023-01-14T02:34:06Z","2023-01-14T03:22:29Z","UgyIrG7UNidwP2fEQUV4AaABAg",NA,"j5M6RzGN5JE"
"以前話鍾意姜濤應該都冇乜嘢，如果而家講比人聽自己鍾意姜濤，應該會卑人耻笑🤣","Sonia88","https://yt3.ggpht.com/ytc/AMLnZu--uxSpxjlOKQiBEkNbSSYnIxOXo3R1tt32fExz6gXZiiiw1CMyHAx4qSoA7pBg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCEg7eirLiNctBnYr_QdD9Xg","UCEg7eirLiNctBnYr_QdD9Xg","0","15","2023-01-14T02:28:12Z","2023-01-14T02:28:12Z","UgyNuO7cxtZ0EMtqTd54AaABAg",NA,"j5M6RzGN5JE"
"恭喜姜濤🎉","Yo Yo","https://yt3.ggpht.com/ytc/AMLnZu9p_Sp4edR-Khux7Z_sFreDa79OHyiNtv4_cQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCN6Iix96BC6_1RBg2MVUPLg","UCN6Iix96BC6_1RBg2MVUPLg","0","7","2023-01-14T02:21:43Z","2023-01-14T02:21:43Z","UgyX2JXjLMm-gaJK5B94AaABAg",NA,"j5M6RzGN5JE"
"95k unlike 踢走弱智白卡大陸仔濤","Icy Mango","https://yt3.ggpht.com/ytc/AMLnZu_6lq3SNDkUYuKLsPxzp8EmOIQRa6vZDBkTQrKya2vYbskQv_t-8bVooxtMOhMM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCRvLI1Ad8BHxdom3hFY-Z7g","UCRvLI1Ad8BHxdom3hFY-Z7g","0","12","2023-01-14T02:04:53Z","2023-01-14T02:04:53Z","Ugx1JauFHAjOgqm851B4AaABAg",NA,"j5M6RzGN5JE"
"I am 10 years old and I love this song add oil Keung To!","Hermione","https://yt3.ggpht.com/ytc/AMLnZu94FQsIaM17w_-ugPAF8YG4xcIgqCuYuSdJIzY8vR16K5K8T6aGdobTeWyLN6rJ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC0Kcg3hqopKOalwvzmdnfZQ","UC0Kcg3hqopKOalwvzmdnfZQ","2","8","2023-01-14T02:01:33Z","2023-01-14T02:01:33Z","UgwlkV7mEAz-cRG-Pst4AaABAg",NA,"j5M6RzGN5JE"
"12026 Like 94541 Dislike 呢幾年啲阿豬阿狗youtuber都話自己音樂人 唱歌 歌手真係CLS 佢地金主係古XX 古XX+DIUTV 就做成今日咁既樂壇霸權","KenKenny","https://yt3.ggpht.com/ytc/AMLnZu8-tni_RXyNfQTKQxzpUuK0mnjNTTJ-D4YwpeDqHLIXbwn1zKTTTx22s-oNVbG6=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC3jUkIU0WEhygS58DpbKthQ","UC3jUkIU0WEhygS58DpbKthQ","0","11","2023-01-14T01:33:47Z","2023-01-14T01:34:48Z","Ugyo0lgDUBKTk9woOdt4AaABAg",NA,"j5M6RzGN5JE"
